Title	Description	Image	IMDB Page	Rotten Tomatoes Page	Venues
Back to the Future	Because as long as you hit that fucking wire with the fucking connecting hook at fucking precisely 88 miles per hour the fucking instant the lightning strikes the fucking tower, everything will be fucking fine.	http://upload.wikimedia.org/wikipedia/en/d/d2/Back_to_the_Future.jpg	http://www.imdb.com/title/tt0088763/?ref_=nv_sr_1	http://www.rottentomatoes.com/m/back_to_the_future/?search=back%20to%20the%20future	Rent on Amazon
Batman	Because you wanna get nuts? Come on, let's get fucking nuts!	http://upload.wikimedia.org/wikipedia/en/3/3c/Batman_ver2.jpg	http://www.imdb.com/title/tt0096895/?ref_=nv_sr_3	http://www.rottentomatoes.com/m/1001781-batman/?search=batman	Instant Netflix
Batman Returns	Because Michelle Pfeiffer's Catwoman was fucking vacuum sealed so she could only be it in it for a few minutes or she'd fucking PASS out, plus she once fucking cut someone's face with her fucking LIVE-ASS whip. Plus it's a fucking great movie.	http://upload.wikimedia.org/wikipedia/en/8/83/Batman_returns_poster2.jpg	http://www.imdb.com/title/tt0103776/?ref_=nv_sr_1	http://www.rottentomatoes.com/m/batman_returns/?search=batman%20return	Instant Netflix, Rent on Amazon
Battle Royale	Because these kids fucking DESTROY each other! And it's basically the fucking ORIGINAL Hunger Games. And fucking ignore that this fucking Rotten Tomatoes link is for fucking Battle Royale 3D, I don't even know, what the fuck	http://rainingfrogsreviews.com/wp-content/uploads/Battle-Royale-Movie-Poster-800x1124.jpg	http://www.imdb.com/title/tt0266308/?ref_=nv_sr_1	http://www.rottentomatoes.com/m/battle_royale_3d/	Instant Netflix, Rent on Amazon
Beauty and the Beast	Because it's fucking time to reconnect with your childhood.	http://img1.wikia.nocookie.net/__cb20121006213309/disney/images/6/6e/Beauty_and_the_Beast_(Diamond_Edition_2010).jpg	http://www.imdb.com/title/tt0101414/?ref_=fn_al_tt_2	http://www.rottentomatoes.com/m/beauty_and_the_beast_1991/	Go fucking download it
Rush Hour	Because fucking Jackie Chan and a fucking NON-FAT Chris Tucker.	http://ia.media-imdb.com/images/M/MV5BMjAyMzAyNzY5N15BMl5BanBnXkFtZTcwNjU3MTc0MQ@@._V1_SX640_SY720_.jpg	http://www.imdb.com/title/tt0120812/?ref_=nv_sr_2	http://www.rottentomatoes.com/m/rush_hour/?search=rush%20hour	Go fucking download it
Before Sunrise	Because it's the beginning of a trilogy that took place over 21 FUCKING YEARS, and it's basically a two-decade-long love story fucking IRL Plus Julie Delpy is a fucking babe, plus Ethan Hawke has never looked better (as in, he only got worse).	http://ia.media-imdb.com/images/M/MV5BMTQyMTM3MTQxMl5BMl5BanBnXkFtZTcwMDAzNjQ4Mg@@._V1_SX640_SY720_.jpg	http://www.imdb.com/title/tt0112471/?ref_=nv_sr_1	http://www.rottentomatoes.com/m/before_sunrise/	Rent on Amazon
Before Sunset	If and only if you've fucking seen Before Sunset.	http://ia.media-imdb.com/images/M/MV5BMTQ1MjAwNTM5Ml5BMl5BanBnXkFtZTYwNDM0MTc3._V1_SX640_SY720_.jpg	http://www.imdb.com/title/tt0381681/?ref_=nv_sr_1	http://www.rottentomatoes.com/m/before_sunset/	Rent on Amazon
Big Fish	Because roses are red, violets are blue, I fucking love Spectre.	http://ia.media-imdb.com/images/M/MV5BMTYyMzM3MzgyNV5BMl5BanBnXkFtZTcwMTI4MzUyMQ@@._V1_SY317_CR5,0,214,317_AL_.jpg	http://www.imdb.com/title/tt0319061/?ref_=nv_sr_1	http://www.rottentomatoes.com/m/1127787-big_fish/?search=big%20fish	Rent on Amazon
The Big Sleep	Because fucking Lauren Bacalllllllll	http://ia.media-imdb.com/images/M/MV5BNjg5MjM5MzY5M15BMl5BanBnXkFtZTgwNjg3MzgyMjE@._V1_SX214_AL_.jpg	http://www.imdb.com/title/tt0038355/?ref_=nv_sr_1	http://www.rottentomatoes.com/m/1002352-big_sleep/?search=the%20big%20sleep	Rent on Amazon
The Birds	Because it's fucking terrifying. It's the fucking absolute scariest movie you will ever see. 	http://upload.wikimedia.org/wikipedia/commons/c/c0/The_Birds_original_poster.jpg	http://www.imdb.com/title/tt0056869/?ref_=nv_sr_1	http://www.rottentomatoes.com/m/1002448-birds/?search=the%20birds	Rent on Amazon
Butch Cassidy and the Sundance Kid	Because raindrops keep fucking dropping on my head (and fucking Paul Newmans blue EYESSSS).	http://cdn.movieclips.com/keyart/79514x480.jpg	http://www.imdb.com/title/tt0064115/?ref_=nv_sr_1	http://www.rottentomatoes.com/m/1003318-butch_cassidy_and_the_sundance_kid/	Rent on Amazon
The Cabinet of Dr. Caligari	Because every once in a while it's time to sit back and fucking APPRECIATE silent movies (in particular, fucking German expressionism).	http://cdn8.openculture.com/wp-content/uploads/2013/10/Cabinet-Of-Dr.-Caligari-.jpg	http://www.imdb.com/title/tt0010323/?ref_=nv_sr_1	http://www.rottentomatoes.com/m/1003361-cabinet_of_dr_caligari/?search=the%20cabinet%20of%20d	Instant Netflix, Prime Instant Video, YouTube
Capote	Because fucking Philip Seymour Hoffman! And fucking, why don't you read In Cold Blood afterwards, too?	https://www.google.com/search?q=capote&rlz=1C1RNKL_enUS492US492&source=lnms&tbm=isch&sa=X&ei=T_6FVLyTEoaLyATd-4CoBQ&ved=0CAkQ_AUoAg&biw=1366&bih=667#facrc=_&imgdii=_&imgrc=G-0DuQXRv7qjPM%253A%3Bq-2J_El9frIU3M%3Bhttp%253A%252F%252Fupload.wikimedia.org%252Fwikipedia%252Fen%252Fd%252Fda%252FCapote_Poster.jpg%3Bhttp%253A%252F%252Fen.wikipedia.org%252Fwiki%252FCapote_(film)%3B284%3B378	http://www.imdb.com/title/tt0379725/?ref_=nv_sr_1	http://www.rottentomatoes.com/m/1151898-capote/	Rent on Amazon
Citizen Kane	I don't have to fucking tell you to watch this movie, you should already fucking know.	http://upload.wikimedia.org/wikipedia/en/c/ce/Citizenkane.jpg	http://www.imdb.com/title/tt0033467/?ref_=nv_sr_1	http://www.rottentomatoes.com/m/citizen_kane/?search=citizen%20kane	Rent on Amazon
City of God	Because the fucking child lead actor GREW UP THERE!	http://ia.media-imdb.com/images/M/MV5BMjA4ODQ3ODkzNV5BMl5BanBnXkFtZTYwOTc4NDI3._V1_SX640_SY720_.jpg	http://www.imdb.com/title/tt0317248/?ref_=nv_sr_1	http://www.rottentomatoes.com/m/city_of_god/?search=city%20of%20god	Instant Netflix, Prime Instant Video
Clerks.	Because Kevin Smith and fuckihg have you ever fucking tried to suck your own cock?	http://upload.wikimedia.org/wikipedia/en/6/65/Clerks_movie_poster%3B_Just_because_they_serve_you_---_.jpg	http://www.imdb.com/title/tt0109445/?ref_=nv_sr_2	http://www.rottentomatoes.com/m/clerks/?search=clerks	Instant Netflix, Prime Instant Video
Cloverfield	Because JJ Abrams on a hand-held camera CAN'T FUCKING USE SOLAR FLARE!	http://upload.wikimedia.org/wikipedia/en/f/f1/Cloverfield_theatrical_poster.jpg	http://www.imdb.com/title/tt1060277/?ref_=nv_sr_1	http://www.rottentomatoes.com/m/cloverfield/?search=cloverfield	Rent on Amazon
Clueless	Because I fucking love this movie.	http://ia.media-imdb.com/images/M/MV5BMTgxODIxODE2MF5BMl5BanBnXkFtZTgwOTA4NjQxMTE@._V1_SX640_SY720_.jpg	http://www.imdb.com/title/tt0112697/?ref_=nv_sr_1	http://www.rottentomatoes.com/m/clueless/	Instant Netflix, Prime Instant Video
